account_name,date,shipped_weight,net_sales
Granite Metals,2023-11-01,19011.21,26619.94
Granite Metals,2023-12-01,19106.41,20690.16
Granite Metals,2024-01-01,19475.28,27973.04
Granite Metals,2024-02-01,19532.89,38634.13
Granite Metals,2024-03-01,19156.13,25337.55
Granite Metals,2024-04-01,18740.61,36068.99
Granite Metals,2024-05-01,19757.75,24756.27
Granite Metals,2024-06-01,19345.95,20805.3
HighPoint Industrial,2023-01-01,7337.25,13042.72
HighPoint Industrial,2023-02-01,7587.94,15064.22
HighPoint Industrial,2023-03-01,7397.46,12942.44
HighPoint Industrial,2023-04-01,7401.92,13539.33
HighPoint Industrial,2023-05-01,7496.71,7972.83
HighPoint Industrial,2023-06-01,7012.46,7951.09
HighPoint Industrial,2023-07-01,6932.93,7455.39
HighPoint Industrial,2023-08-01,7648.14,11734.9
HighPoint Industrial,2023-09-01,7652.54,14640.58
HighPoint Industrial,2023-10-01,7697.46,13286.74
HighPoint Industrial,2023-11-01,7693.6,10600.63
HighPoint Industrial,2023-12-01,7168.74,8638.66
HighPoint Industrial,2024-01-01,7145.34,9108.4
HighPoint Industrial,2024-02-01,7142.67,13415.51
HighPoint Industrial,2024-03-01,7713.15,8074.87
HighPoint Industrial,2024-04-01,7258.2,7419.22
HighPoint Industrial,2024-05-01,7443.04,10987.5
HighPoint Industrial,2024-06-01,7704.67,10075.99
Ironclad LLC,2023-01-01,17228.3,23112.85
Ironclad LLC,2023-02-01,17720.96,25874.72
Ironclad LLC,2023-03-01,17571.44,24605.3
Ironclad LLC,2023-04-01,17376.21,20505.1
Ironclad LLC,2023-05-01,17640.55,24902.48
Ironclad LLC,2023-06-01,17710.68,26835.86
Ironclad LLC,2023-07-01,17759.16,28449.03
Ironclad LLC,2023-08-01,17108.06,31167.3
Ironclad LLC,2023-09-01,17100.19,23044.55
Ironclad LLC,2023-10-01,16819.04,26047.91
Ironclad LLC,2023-11-01,17422.2,23624.36
Ironclad LLC,2023-12-01,17993.96,20310.66
Ironclad LLC,2024-01-01,17119.21,22624.45
Ironclad LLC,2024-02-01,16759.82,24823.72
Ironclad LLC,2024-03-01,17083.61,25824.56
Ironclad LLC,2024-04-01,17241.01,23745.8
Ironclad LLC,2024-05-01,16702.98,31206.2
Ironclad LLC,2024-06-01,16922.54,27029.99
Jetstream Co,2023-01-01,19649.97,32342.23
Jetstream Co,2023-02-01,19875.83,26953.55
Jetstream Co,2023-03-01,20318.39,32626.76
Jetstream Co,2023-04-01,19847.21,21867.31
Jetstream Co,2023-05-01,19396.65,24167.41
Jetstream Co,2023-06-01,19479.76,23114.04
Jetstream Co,2023-07-01,19750.53,23174.75
Jetstream Co,2023-08-01,20283.86,21911.31
Jetstream Co,2023-09-01,19747.46,27851.76
Jetstream Co,2023-10-01,20454.75,22746.47
Jetstream Co,2023-11-01,19519.26,38442.6
Jetstream Co,2023-12-01,20114.48,36549.46
Jetstream Co,2024-01-01,19399.13,22714.2
Jetstream Co,2024-02-01,20076.55,38735.2
Jetstream Co,2024-03-01,20086.09,31567.55
Jetstream Co,2024-04-01,19618.04,34713.98
Jetstream Co,2024-05-01,19495.8,25806.18
Jetstream Co,2024-06-01,19546.09,29467.89
Krypton Materials,2023-01-01,8240.2,13462.49
Krypton Materials,2023-03-01,8945.63,11774.21
Krypton Materials,2023-04-01,8747.58,14722.01
Krypton Materials,2023-05-01,8828.51,15130.14
Krypton Materials,2023-06-01,8896.68,14449.12
Krypton Materials,2023-07-01,8663.1,12463.99
Krypton Materials,2023-08-01,8678.44,11762.44
Krypton Materials,2023-09-01,8475.64,12983.47
Krypton Materials,2023-11-01,8298.31,10198.83
Krypton Materials,2023-12-01,8745.64,12519.62
Krypton Materials,2024-01-01,8406.49,14547.85
Krypton Materials,2024-02-01,9040.05,10547.31
Krypton Materials,2024-03-01,8861.89,13252.29
Krypton Materials,2024-04-01,8788.43,13825.52
Krypton Materials,2024-05-01,9148.5,16031.85
Krypton Materials,2024-06-01,8850.85,15741.87
Lunar Metals,2023-01-01,6666.24,11008.42
Lunar Metals,2023-02-01,7549.74,10376.63
Lunar Metals,2023-03-01,6686.81,7203.84
Lunar Metals,2023-04-01,6769.79,12459.38
Lunar Metals,2023-05-01,7397.17,8305.62
Lunar Metals,2023-06-01,6931.13,8078.37
Lunar Metals,2023-08-01,6766.51,12433.41
Lunar Metals,2023-09-01,7205.94,9450.19
Lunar Metals,2023-10-01,6887.34,11074.12
Lunar Metals,2023-11-01,6842.34,11934.75
Lunar Metals,2023-12-01,6824.95,12201.57
Lunar Metals,2024-01-01,7345.73,8185.1
Lunar Metals,2024-02-01,7204.31,13425.37
Lunar Metals,2024-03-01,7621.2,11170.4
Lunar Metals,2024-04-01,7239.79,13889.21
Lunar Metals,2024-05-01,7149.81,7384.66
Lunar Metals,2024-06-01,7511.05,9375.49
Monarch Steel,2023-01-01,13928.11,27105.72
Monarch Steel,2023-02-01,13661.57,17360.37
Monarch Steel,2023-03-01,13716.59,19323.03
Monarch Steel,2023-04-01,13100.35,15146.0
Monarch Steel,2023-05-01,13941.31,23127.58
Monarch Steel,2023-06-01,13193.52,16122.11
Monarch Steel,2023-07-01,13706.65,22916.04
Monarch Steel,2023-08-01,12961.55,14310.96
Monarch Steel,2023-09-01,13979.41,16475.35
Monarch Steel,2023-10-01,13971.59,17299.38
Monarch Steel,2023-11-01,13184.9,16391.1
Monarch Steel,2023-12-01,13762.32,25538.69
Monarch Steel,2024-01-01,13875.7,19386.9
Monarch Steel,2024-02-01,13612.3,16402.61
Monarch Steel,2024-03-01,13642.06,25869.92
Monarch Steel,2024-04-01,13132.44,14255.38
Monarch Steel,2024-05-01,13311.14,13664.32
Monarch Steel,2024-06-01,13055.67,20667.66
Nova Tubing,2023-02-01,11111.81,14137.64
Nova Tubing,2023-03-01,10760.02,20597.89
Nova Tubing,2023-04-01,10779.66,16994.32
Nova Tubing,2023-05-01,10919.19,16970.37
Nova Tubing,2023-06-01,11541.4,21117.78
Nova Tubing,2023-07-01,10882.83,11002.49
Nova Tubing,2023-08-01,11156.92,21198.36
Nova Tubing,2023-09-01,11459.56,18305.64
Nova Tubing,2023-10-01,11613.95,19337.65
Nova Tubing,2023-12-01,10985.79,21031.33
Nova Tubing,2024-01-01,11178.45,15461.34
Nova Tubing,2024-02-01,11385.47,11920.2
Nova Tubing,2024-03-01,10983.39,19089.5
Nova Tubing,2024-04-01,11029.08,17681.29
Nova Tubing,2024-05-01,11079.65,15392.91
Nova Tubing,2024-06-01,11127.08,15084.68
Orion Fabricators,2023-01-01,15774.77,27748.38
Orion Fabricators,2023-02-01,16425.33,26892.07
Orion Fabricators,2023-03-01,16344.14,31108.84
Orion Fabricators,2023-04-01,15961.53,27025.67
Orion Fabricators,2023-05-01,15201.79,25385.73
Orion Fabricators,2023-06-01,15440.4,24523.43
Orion Fabricators,2023-07-01,16194.17,25195.0
Orion Fabricators,2023-08-01,15778.16,20714.43
Orion Fabricators,2023-09-01,15810.34,27368.07
Orion Fabricators,2023-10-01,15463.12,17245.74
Orion Fabricators,2023-11-01,15888.87,28525.96
Orion Fabricators,2023-12-01,15919.75,16793.47
Orion Fabricators,2024-01-01,15735.31,23955.98
Orion Fabricators,2024-03-01,15831.26,26124.24
Orion Fabricators,2024-04-01,15936.49,24871.72
Orion Fabricators,2024-05-01,15878.47,29930.9
Pinnacle Alloys,2023-01-01,13068.83,18091.53
Pinnacle Alloys,2023-02-01,12886.91,15699.53
Pinnacle Alloys,2023-03-01,13426.66,23984.65
Pinnacle Alloys,2023-04-01,12723.27,18036.26
Pinnacle Alloys,2023-05-01,13492.45,26239.2
Pinnacle Alloys,2023-06-01,13029.68,21022.24
Pinnacle Alloys,2023-07-01,12278.09,24447.74
Pinnacle Alloys,2023-08-01,12780.15,24828.41
Pinnacle Alloys,2023-09-01,13075.37,21021.75
Pinnacle Alloys,2023-10-01,13095.67,16116.44
Pinnacle Alloys,2023-11-01,12663.69,15455.86
Pinnacle Alloys,2023-12-01,12637.84,22490.1
Pinnacle Alloys,2024-02-01,12781.83,13521.17
Pinnacle Alloys,2024-03-01,13419.93,25280.28
Pinnacle Alloys,2024-04-01,13309.81,26551.84
Pinnacle Alloys,2024-05-01,12419.91,17341.2
Pinnacle Alloys,2024-06-01,13285.78,22532.95
Quantum Steels,2023-01-01,7278.16,13596.77
Quantum Steels,2023-02-01,7002.3,8104.05
Quantum Steels,2023-03-01,7141.13,9526.33
Quantum Steels,2023-04-01,7115.67,13733.89
Quantum Steels,2023-05-01,6852.87,11642.97
Quantum Steels,2023-06-01,7009.7,13189.71
Quantum Steels,2023-07-01,7743.26,11347.51
Quantum Steels,2023-08-01,7730.18,7769.95
Quantum Steels,2023-09-01,7668.11,9421.23
Quantum Steels,2023-10-01,7796.33,7805.07
Quantum Steels,2023-11-01,7302.46,12827.76
Quantum Steels,2023-12-01,7074.78,8441.15
Quantum Steels,2024-01-01,6764.75,8972.99
Quantum Steels,2024-02-01,7276.39,8119.32
Quantum Steels,2024-03-01,7249.75,7315.52
Quantum Steels,2024-04-01,7557.64,8528.41
Quantum Steels,2024-05-01,7030.32,7159.88
Quantum Steels,2024-06-01,7240.07,13322.62
Redline Processing,2023-01-01,10740.32,21308.56
Redline Processing,2023-02-01,10865.25,20579.86
Redline Processing,2023-03-01,10668.66,12942.2
Redline Processing,2023-04-01,10345.42,17087.19
Redline Processing,2023-05-01,10832.62,20195.88
Redline Processing,2023-06-01,10961.79,21574.92
Redline Processing,2023-07-01,10492.12,19605.81
Redline Processing,2023-08-01,11154.34,19753.47
Redline Processing,2023-11-01,11041.5,19444.35
Redline Processing,2023-12-01,11158.98,12623.54
Redline Processing,2024-01-01,10538.48,20242.82
Redline Processing,2024-02-01,10949.19,19670.63
Redline Processing,2024-03-01,10851.49,12124.46
Redline Processing,2024-04-01,10374.15,17486.31
Redline Processing,2024-05-01,10822.25,12992.38
Redline Processing,2024-06-01,11000.74,11707.09
Starlight Fabricators,2023-01-01,13963.88,14538.96
Starlight Fabricators,2023-02-01,14036.67,27393.26
Starlight Fabricators,2023-03-01,13315.77,25249.65
Starlight Fabricators,2023-04-01,13820.86,22342.87
Starlight Fabricators,2023-05-01,13818.76,17948.3
Starlight Fabricators,2023-06-01,14070.29,27399.79
Starlight Fabricators,2023-07-01,14194.31,25314.45
Starlight Fabricators,2023-08-01,13773.75,20445.73
Starlight Fabricators,2023-09-01,14030.92,21790.03
Starlight Fabricators,2023-10-01,13676.9,24397.29
Starlight Fabricators,2023-11-01,13761.57,14322.41
Starlight Fabricators,2024-01-01,13390.25,19263.31
Starlight Fabricators,2024-02-01,13876.0,22108.34
Starlight Fabricators,2024-03-01,13843.71,20478.71
Starlight Fabricators,2024-04-01,13789.94,18327.07
Starlight Fabricators,2024-05-01,14029.54,24471.44
Starlight Fabricators,2024-06-01,14098.3,20212.1
Titanium Inc,2023-01-01,5649.35,10372.2
Titanium Inc,2023-02-01,5277.76,9373.31
Titanium Inc,2023-03-01,5512.54,8830.3
Titanium Inc,2023-04-01,5786.7,7944.26
Titanium Inc,2023-05-01,5590.08,7898.96
Titanium Inc,2023-06-01,5197.24,7469.3
Titanium Inc,2023-07-01,5176.28,7272.78
Titanium Inc,2023-08-01,5726.91,9045.17
Titanium Inc,2023-09-01,5798.51,6350.89
Titanium Inc,2023-10-01,5826.94,7645.81
Titanium Inc,2023-11-01,5548.78,10309.56
Titanium Inc,2023-12-01,5192.39,8247.65
Titanium Inc,2024-01-01,5775.33,8066.17
Titanium Inc,2024-02-01,5450.27,6729.31
Titanium Inc,2024-03-01,6088.05,8779.11
Titanium Inc,2024-04-01,5529.25,8010.65
Titanium Inc,2024-05-01,5999.89,6874.42
Titanium Inc,2024-06-01,5624.0,8930.27
