Account Name,,Date,Shipped Weight,Net Sales
BULLOCH FABRICATING,,11/1/24,5.1,"$4,278 "
BULLOCH FABRICATING,,12/1/24,7.7,"$6,351 "
BULLOCH FABRICATING,,1/1/25,0,($172)
BULLOCH FABRICATING,,1/1/25,23,"$19,343 "
BULLOCH FABRICATING,,2/1/25,8.2,"$8,075 "
BULLOCH FABRICATING,,3/1/25,20.2,"$23,103 "
BULLOCH FABRICATING,,4/1/25,1.3,"$1,368 "
BULLOCH FABRICATING,,5/1/25,11.1,"$10,724 "
BULLOCH FABRICATING,,5/1/25,11.4,"$10,930 "
BULLOCH FABRICATING,,6/1/25,5.9,"$5,967 "
BULLOCH FABRICATING,,9/1/23,0.2,$637 
BULLOCH FABRICATING,,9/1/23,0.1,$265 
BULLOCH FABRICATING,,6/1/23,0,$200 
BULLOCH FABRICATING,,8/1/23,0.1,$573 
BULLOCH FABRICATING,,9/1/23,0,$193 
BULLOCH FABRICATING,,10/1/23,0,$75 
BULLOCH FABRICATING,,11/1/23,0.1,$657 
BULLOCH FABRICATING,,2/1/24,0,$265 
BULLOCH FABRICATING,,3/1/24,0.3,"$1,749 "
BULLOCH FABRICATING,,12/1/24,0.1,$388 
BULLOCH FABRICATING,,5/1/25,0,$327 
BULLOCH FABRICATING,,5/1/25,0,$54 
BULLOCH FABRICATING,,6/1/24,0.4,"$2,528 "
BULLOCH FABRICATING,,8/1/23,0,$686 
BULLOCH FABRICATING,,11/1/23,0,$702 
BULLOCH FABRICATING,,3/1/24,0,$986 
BULLOCH FABRICATING,,6/1/24,0.1,"$1,571 "
BULLOCH FABRICATING,,10/1/24,0.1,$292 
BULLOCH FABRICATING,,2/1/25,0,$697 
BULLOCH FABRICATING,,4/1/25,0,$612 
BULLOCH FABRICATING,,5/1/25,0,$287 
BULLOCH FABRICATING,,6/1/23,0.9,"$1,275 "
BULLOCH FABRICATING,,7/1/23,0.3,$387 
BULLOCH FABRICATING,,8/1/23,0.2,$220 
BULLOCH FABRICATING,,9/1/23,0.2,$197 
BULLOCH FABRICATING,,10/1/23,3.8,"$4,104 "
BULLOCH FABRICATING,,10/1/23,0.4,$479 
BULLOCH FABRICATING,,10/1/23,0.2,$436 
BULLOCH FABRICATING,,11/1/23,0.2,$311 
BULLOCH FABRICATING,,1/1/24,1.1,"$1,323 "
BULLOCH FABRICATING,,5/1/24,3.2,"$3,814 "
BULLOCH FABRICATING,,6/1/24,0.5,$532 
BULLOCH FABRICATING,,7/1/24,1.5,"$1,817 "
BULLOCH FABRICATING,,11/1/24,0.2,$444 
BULLOCH FABRICATING,,12/1/24,0.4,$422 
BULLOCH FABRICATING,,1/1/25,0.4,$378 
BULLOCH FABRICATING,,2/1/25,0.7,$846 
BULLOCH FABRICATING,,3/1/25,0.5,$720 
BULLOCH FABRICATING,,5/1/25,0.1,$111 
BULLOCH FABRICATING,,6/1/23,12.5,"$15,649 "
BULLOCH FABRICATING,,6/1/23,1.5,"$2,071 "
BULLOCH FABRICATING,,8/1/23,15.4,"$16,380 "
BULLOCH FABRICATING,,9/1/23,5.7,"$6,326 "
BULLOCH FABRICATING,,9/1/23,4.5,"$5,408 "
BULLOCH FABRICATING,,9/1/23,9.3,"$10,004 "
BULLOCH FABRICATING,,10/1/23,9.7,"$10,650 "
BULLOCH FABRICATING,,10/1/23,5.7,"$5,514 "
BULLOCH FABRICATING,,2/1/24,0.1,$187 
BULLOCH FABRICATING,,3/1/24,2.1,"$2,268 "
BULLOCH FABRICATING,,4/1/24,6.8,"$7,290 "
BULLOCH FABRICATING,,5/1/24,18.4,"$17,421 "
BULLOCH FABRICATING,,5/1/24,14.5,"$13,572 "
BULLOCH FABRICATING,,6/1/24,4.7,"$4,387 "
BULLOCH FABRICATING,,6/1/24,1.5,"$1,439 "
BULLOCH FABRICATING,,7/1/24,8.7,"$7,970 "
BULLOCH FABRICATING,,7/1/24,3,"$2,850 "
BULLOCH FABRICATING,,7/1/24,5.7,"$5,484 "
BULLOCH FABRICATING,,8/1/24,3.7,"$3,215 "
BULLOCH FABRICATING,,9/1/24,19,"$16,347 "
BULLOCH FABRICATING,,10/1/24,13.9,"$11,956 "
BULLOCH FABRICATING,,11/1/24,0.5,$420 
BULLOCH FABRICATING,,12/1/24,5.9,"$5,094 "
BULLOCH FABRICATING,,1/1/25,18.2,"$15,431 "
BULLOCH FABRICATING,,2/1/25,15.7,"$15,554 "
BULLOCH FABRICATING,,3/1/25,0.7,$834 
BULLOCH FABRICATING,,4/1/25,2,"$2,126 "
BULLOCH FABRICATING,,5/1/25,4.6,"$4,450 "
BULLOCH FABRICATING,,5/1/25,8.6,"$8,466 "
BULLOCH FABRICATING,,6/1/25,1.2,"$1,152 "
BULLOCH FABRICATING,,6/1/23,1,"$1,378 "
BULLOCH FABRICATING,,7/1/23,0.7,$890 
BULLOCH FABRICATING,,8/1/23,0.9,"$1,053 "
BULLOCH FABRICATING,,9/1/23,2.1,"$2,410 "
BULLOCH FABRICATING,,10/1/23,1.4,"$1,593 "
BULLOCH FABRICATING,,11/1/23,2.5,"$2,788 "
BULLOCH FABRICATING,,12/1/23,0.9,"$1,227 "
BULLOCH FABRICATING,,2/1/24,1.1,"$1,557 "
BULLOCH FABRICATING,,3/1/24,0.7,$983 
BULLOCH FABRICATING,,3/1/24,1.2,"$1,554 "
BULLOCH FABRICATING,,3/1/24,7.3,"$11,725 "
BULLOCH FABRICATING,,5/1/24,2.7,"$3,663 "
BULLOCH FABRICATING,,6/1/24,20.2,"$28,719 "
BULLOCH FABRICATING,,8/1/24,0.7,$838 
BULLOCH FABRICATING,,9/1/24,3.5,"$4,001 "
BULLOCH FABRICATING,,10/1/24,-3.4,"($3,821)"
BULLOCH FABRICATING,,12/1/24,0.1,$164 
BULLOCH FABRICATING,,1/1/25,3.8,"$4,381 "
BULLOCH FABRICATING,,2/1/25,4.8,"$5,893 "
BULLOCH FABRICATING,,3/1/25,0.1,$198 
BULLOCH FABRICATING,,6/1/25,0.3,$427 
BULLOCH FABRICATING,,6/1/23,0.2,$816 
BULLOCH FABRICATING,,6/1/23,2.9,"$9,292 "
BULLOCH FABRICATING,,7/1/23,-0.7,"($1,282)"
BULLOCH FABRICATING,,7/1/23,1.3,"$3,501 "
BULLOCH FABRICATING,,8/1/23,1.4,"$4,830 "
BULLOCH FABRICATING,,9/1/23,-1.2,"($3,519)"
BULLOCH FABRICATING,,9/1/23,0.2,$640 
BULLOCH FABRICATING,,9/1/23,0.2,"$1,133 "
BULLOCH FABRICATING,,10/1/23,0.4,$911 
BULLOCH FABRICATING,,10/1/23,0.1,$311 
BULLOCH FABRICATING,,11/1/23,0.3,$862 
BULLOCH FABRICATING,,1/1/24,0.1,$472 
BULLOCH FABRICATING,,3/1/24,0.9,"$2,275 "
BULLOCH FABRICATING,,3/1/24,0.2,$600 
BULLOCH FABRICATING,,6/1/24,0.3,$764 
BULLOCH FABRICATING,,7/1/24,0.2,$421 
BULLOCH FABRICATING,,8/1/24,0.5,"$1,308 "
BULLOCH FABRICATING,,9/1/24,0,$88 
BULLOCH FABRICATING,,10/1/24,0,$414 
BULLOCH FABRICATING,,11/1/24,1.8,"$4,234 "
BULLOCH FABRICATING,,12/1/24,0.1,$303 
BULLOCH FABRICATING,,1/1/25,0.3,$894 
BULLOCH FABRICATING,,2/1/25,0.1,$405 
BULLOCH FABRICATING,,3/1/25,0.5,"$1,762 "
BULLOCH FABRICATING,,4/1/25,0.2,$547 
BULLOCH FABRICATING,,5/1/25,2.9,"$9,235 "
BULLOCH FABRICATING,,6/1/25,0,($451)
BULLOCH FABRICATING,,6/1/25,0.2,$493 
BULLOCH FABRICATING,,6/1/25,0.1,$160 
BULLOCH FABRICATING,,7/1/23,0.3,$597 
BULLOCH FABRICATING,,8/1/23,0,$56 
BULLOCH FABRICATING,,3/1/24,0.2,$303 
BULLOCH FABRICATING,,7/1/24,0.2,$559 
BULLOCH FABRICATING,,8/1/24,0.1,$213 
BULLOCH FABRICATING,,1/1/25,0.2,$306 
BULLOCH FABRICATING,,3/1/25,0.6,$820 
BULLOCH FABRICATING,,5/1/25,0.1,$194 
BULLOCH FABRICATING,,6/1/25,0.1,$127 
BULLOCH FABRICATING,,6/1/23,1.9,"$2,970 "
BULLOCH FABRICATING,,8/1/23,0.5,$611 
BULLOCH FABRICATING,,3/1/25,1.7,"$2,324 "
BULLOCH FABRICATING,,5/1/25,0.9,"$1,341 "
BULLOCH FABRICATING,,9/1/23,0.1,$600 
BULLOCH FABRICATING,,10/1/23,0.1,$456 
BULLOCH FABRICATING,,11/1/23,0.1,$469 
BULLOCH FABRICATING,,6/1/24,0,$138 
BULLOCH FABRICATING,,8/1/24,0,$79 
BULLOCH FABRICATING,,9/1/24,0,$264 
BULLOCH FABRICATING,,10/1/24,0.1,$295 
BULLOCH FABRICATING,,12/1/24,0.1,$236 
BULLOCH FABRICATING,,1/1/25,0.3,"$1,444 "
BULLOCH FABRICATING,,3/1/25,0.1,$466 
BULLOCH FABRICATING,,4/1/25,0.1,$317 
BULLOCH FABRICATING,,5/1/25,0.1,$288 
BULLOCH FABRICATING,,6/1/25,0,$55 
BULLOCH FABRICATING,,7/1/23,0.3,$738 
BULLOCH FABRICATING,,8/1/23,0,($676)
BULLOCH FABRICATING,,8/1/23,0.4,$841 
BULLOCH FABRICATING,,10/1/23,0.2,$461 
BULLOCH FABRICATING,,3/1/24,1.8,"$4,435 "
BULLOCH FABRICATING,,4/1/24,-1.4,"($3,569)"
BULLOCH FABRICATING,,4/1/24,1.7,"$3,570 "
BULLOCH FABRICATING,,7/1/24,0.1,$222 
BULLOCH FABRICATING,,11/1/24,0.6,"$1,406 "
BULLOCH FABRICATING,,12/1/24,0.1,$407 
BULLOCH FABRICATING,,4/1/25,0.6,"$1,166 "
BULLOCH FABRICATING,,7/1/23,0.1,$330 
BULLOCH FABRICATING,,8/1/23,0.1,$259 
BULLOCH FABRICATING,,8/1/24,1.2,"$1,981 "
BULLOCH FABRICATING,,6/1/23,2.3,"$4,635 "
BULLOCH FABRICATING,,7/1/23,1.8,"$3,718 "
BULLOCH FABRICATING,,12/1/23,1.7,"$3,271 "
BULLOCH FABRICATING,,2/1/24,3,"$5,456 "
BULLOCH FABRICATING,,2/1/24,0.3,$542 
BULLOCH FABRICATING,,3/1/24,0,($546)
BULLOCH FABRICATING,,7/1/24,2.4,"$3,162 "
BULLOCH FABRICATING,,9/1/24,3.2,"$3,570 "
BULLOCH FABRICATING,,10/1/24,2.9,"$3,189 "
BULLOCH FABRICATING,,4/1/25,0.6,"$1,198 "
BULLOCH FABRICATING,,5/1/25,0.1,$259 
BULLOCH FABRICATING,,8/1/23,0.2,"$3,012 "
BULLOCH FABRICATING,,12/1/23,1,"$12,177 "
BULLOCH FABRICATING,,1/1/25,0.3,"$5,199 "
BULLOCH FABRICATING,,2/1/25,0.1,"$1,879 "
BULLOCH FABRICATING,,8/1/23,1,"$4,362 "
BULLOCH FABRICATING,,9/1/23,2.9,"$11,000 "
BULLOCH FABRICATING,,11/1/23,5.6,"$19,594 "
BULLOCH FABRICATING,,1/1/24,9.9,"$35,334 "
BULLOCH FABRICATING,,2/1/24,10.6,"$37,810 "
BULLOCH FABRICATING,,2/1/24,1.3,"$4,673 "
BULLOCH FABRICATING,,2/1/24,0.8,"$2,872 "
BULLOCH FABRICATING,,6/1/25,0.1,$331 
BYFORD MACHINE & TOOL INC,,8/1/23,0,$289 
BYFORD MACHINE & TOOL INC,,7/1/23,0.4,"$3,577 "
BYFORD MACHINE & TOOL INC,,1/1/24,0.4,"$2,197 "
BYFORD MACHINE & TOOL INC,,3/1/24,0.4,"$2,211 "
BYFORD MACHINE & TOOL INC,,12/1/23,0.3,$532 
BYFORD MACHINE & TOOL INC,,10/1/23,0.1,$236 
BYFORD MACHINE & TOOL INC,,6/1/23,0.1,$496 
BYFORD MACHINE & TOOL INC,,6/1/23,1.6,"$4,969 "
BYFORD MACHINE & TOOL INC,,7/1/23,5.6,"$12,602 "
BYFORD MACHINE & TOOL INC,,7/1/23,0.4,$980 
BYFORD MACHINE & TOOL INC,,8/1/23,1.8,"$5,182 "
BYFORD MACHINE & TOOL INC,,10/1/23,1,"$2,700 "
BYFORD MACHINE & TOOL INC,,12/1/23,1,"$2,803 "
BYFORD MACHINE & TOOL INC,,1/1/24,1.4,"$3,917 "
BYFORD MACHINE & TOOL INC,,2/1/24,1.5,"$3,696 "
BYFORD MACHINE & TOOL INC,,3/1/24,0.4,"$1,278 "
BYFORD MACHINE & TOOL INC,,4/1/24,1.6,"$4,377 "
BYFORD MACHINE & TOOL INC,,6/1/24,0.4,"$1,261 "
BYFORD MACHINE & TOOL INC,,7/1/24,0.7,"$2,426 "
BYFORD MACHINE & TOOL INC,,8/1/24,0,$86 
BYFORD MACHINE & TOOL INC,,9/1/24,0,($86)
BYFORD MACHINE & TOOL INC,,2/1/25,1.1,"$2,700 "
BYFORD MACHINE & TOOL INC,,3/1/25,0.5,"$1,075 "
BYFORD MACHINE & TOOL INC,,6/1/25,0.9,"$2,042 "
BYFORD MACHINE & TOOL INC,,7/1/24,0.2,$455 
BYFORD MACHINE & TOOL INC,,12/1/23,0.7,"$2,441 "
BYFORD MACHINE & TOOL INC,,6/1/23,8.8,"$12,398 "
BYFORD MACHINE & TOOL INC,,7/1/23,8.8,"$12,398 "
BYFORD MACHINE & TOOL INC,,10/1/23,8.8,"$8,957 "
BYFORD MACHINE & TOOL INC,,12/1/23,17.6,"$17,896 "
BYFORD MACHINE & TOOL INC,,1/1/24,17.6,"$24,231 "
BYFORD MACHINE & TOOL INC,,2/1/24,13.2,"$18,160 "
BYFORD MACHINE & TOOL INC,,4/1/24,8.8,"$8,498 "
BYFORD MACHINE & TOOL INC,,4/1/24,4.4,"$6,058 "
BYFORD MACHINE & TOOL INC,,5/1/24,18.4,"$17,704 "
BYFORD MACHINE & TOOL INC,,6/1/24,8.8,"$8,577 "
BYFORD MACHINE & TOOL INC,,7/1/24,8.8,"$8,577 "
BYFORD MACHINE & TOOL INC,,8/1/24,8.8,"$8,577 "
BYFORD MACHINE & TOOL INC,,11/1/24,8.8,"$7,430 "
BYFORD MACHINE & TOOL INC,,12/1/24,8.8,"$7,430 "
BYFORD MACHINE & TOOL INC,,1/1/25,8.8,"$7,430 "
BYFORD MACHINE & TOOL INC,,3/1/25,26.5,"$25,704 "
BYFORD MACHINE & TOOL INC,,6/1/25,0.6,"$1,287 "
DATA MATIQUE,,6/1/23,0.7,"$3,361 "
DATA MATIQUE,,8/1/23,1.5,"$7,121 "
DATA MATIQUE,,11/1/24,0.2,"$1,087 "
DATA MATIQUE,,3/1/25,4.2,"$24,436 "
DATA MATIQUE,,1/1/25,0,$96 
DATA MATIQUE,,6/1/23,1.1,"$1,315 "
DATA MATIQUE,,6/1/23,1.2,"$1,550 "
DATA MATIQUE,,9/1/23,0.9,"$1,167 "
DATA MATIQUE,,7/1/24,0.2,$363 
DATA MATIQUE,,12/1/24,0.6,$928 
DATA MATIQUE,,3/1/25,1.1,"$1,790 "
DATA MATIQUE,,8/1/23,0.3,$412 
DATA MATIQUE,,2/1/24,0.5,"$1,661 "
DATA MATIQUE,,4/1/24,0.5,"$1,199 "
DATA MATIQUE,,10/1/24,0.3,$941 
DATA MATIQUE,,11/1/24,0.7,"$2,491 "
DATA MATIQUE,,1/1/25,0.9,"$3,236 "
DATA MATIQUE,,5/1/25,0.7,"$2,168 "
DATA MATIQUE,,6/1/25,0.1,$385 
DATA MATIQUE,,1/1/25,1.3,"$2,574 "
DATA MATIQUE,,8/1/23,0.1,$471 
DATA MATIQUE,,5/1/24,0.3,"$1,218 "
DATA MATIQUE,,6/1/24,0.8,"$2,936 "
DATA MATIQUE,,7/1/24,0.8,"$2,952 "
DATA MATIQUE,,11/1/24,0.8,"$2,856 "
DATA MATIQUE,,3/1/25,0.1,$819 
DATA MATIQUE,,3/1/25,6,"$20,338 "
DATA MATIQUE,,4/1/25,0.5,"$1,964 "
DATA MATIQUE,,6/1/25,0.3,"$1,407 "
DATA MATIQUE,,4/1/24,0,$159 
DATA MATIQUE,,5/1/24,0.2,"$2,064 "
DATA MATIQUE,,6/1/24,0.1,$824 
DATA MATIQUE,,6/1/24,0,$295 
DATA MATIQUE,,7/1/24,0,$218 
DATA MATIQUE,,4/1/25,0.1,$370 
DATA MATIQUE,,4/1/25,0,$390 
DATA MATIQUE,,5/1/25,0,$361 
NORTH TEXAS VALVE & MACHINE,,6/1/23,0.1,$588 
NORTH TEXAS VALVE & MACHINE,,6/1/23,0.1,$465 
NORTH TEXAS VALVE & MACHINE,,8/1/23,0.1,$561 
NORTH TEXAS VALVE & MACHINE,,9/1/23,0.8,"$3,061 "
NORTH TEXAS VALVE & MACHINE,,10/1/23,0.6,"$2,871 "
NORTH TEXAS VALVE & MACHINE,,1/1/24,0.9,"$4,565 "
NORTH TEXAS VALVE & MACHINE,,2/1/24,0.7,"$3,959 "
NORTH TEXAS VALVE & MACHINE,,3/1/24,0.8,"$3,187 "
NORTH TEXAS VALVE & MACHINE,,9/1/24,0.3,"$1,296 "
NORTH TEXAS VALVE & MACHINE,,9/1/24,0.1,$932 
NORTH TEXAS VALVE & MACHINE,,12/1/24,0.1,$855 
NORTH TEXAS VALVE & MACHINE,,7/1/23,0.8,"$3,036 "
NORTH TEXAS VALVE & MACHINE,,9/1/23,0.7,"$1,708 "
NORTH TEXAS VALVE & MACHINE,,1/1/24,1.7,"$4,387 "
NORTH TEXAS VALVE & MACHINE,,3/1/24,0.7,"$1,521 "
NORTH TEXAS VALVE & MACHINE,,3/1/24,0.7,"$1,850 "
NORTH TEXAS VALVE & MACHINE,,6/1/24,0.4,"$1,101 "
NORTH TEXAS VALVE & MACHINE,,10/1/24,0.4,$985 
NORTH TEXAS VALVE & MACHINE,,12/1/24,0.8,"$2,229 "
NORTH TEXAS VALVE & MACHINE,,1/1/25,2,"$3,483 "
NORTH TEXAS VALVE & MACHINE,,1/1/25,0.7,"$1,334 "
NORTH TEXAS VALVE & MACHINE,,7/1/24,0.4,"$1,490 "
NORTH TEXAS VALVE & MACHINE,,7/1/24,0.3,"$2,954 "
C & T CUSTOM STAINLESS,,8/1/23,1.1,"$1,103 "
C & T CUSTOM STAINLESS,,6/1/23,0.2,$274 
C & T CUSTOM STAINLESS,,7/1/23,2.2,"$2,476 "
C & T CUSTOM STAINLESS,,4/1/24,4.9,"$5,265 "
C & T CUSTOM STAINLESS,,9/1/24,1.8,"$1,645 "
C & T CUSTOM STAINLESS,,6/1/23,2.6,"$3,731 "
C & T CUSTOM STAINLESS,,7/1/23,2.2,"$2,866 "
C & T CUSTOM STAINLESS,,8/1/23,3.9,"$4,350 "
C & T CUSTOM STAINLESS,,8/1/23,2.6,"$2,887 "
C & T CUSTOM STAINLESS,,11/1/23,2,"$2,717 "
C & T CUSTOM STAINLESS,,12/1/23,2,"$2,874 "
C & T CUSTOM STAINLESS,,2/1/24,2.6,"$3,805 "
C & T CUSTOM STAINLESS,,3/1/24,2.6,"$3,465 "
C & T CUSTOM STAINLESS,,4/1/24,2.9,"$3,720 "
C & T CUSTOM STAINLESS,,5/1/24,1.3,"$1,759 "
C & T CUSTOM STAINLESS,,7/1/24,2,"$2,480 "
C & T CUSTOM STAINLESS,,8/1/24,3.9,"$4,882 "
C & T CUSTOM STAINLESS,,10/1/24,2.6,"$3,098 "
C & T CUSTOM STAINLESS,,10/1/24,2,"$2,323 "
C & T CUSTOM STAINLESS,,11/1/24,1.3,"$1,604 "
C & T CUSTOM STAINLESS,,12/1/24,3.9,"$4,314 "
C & T CUSTOM STAINLESS,,3/1/25,2,"$2,953 "
C & T CUSTOM STAINLESS,,7/1/23,0.1,$185 
C & T CUSTOM STAINLESS,,6/1/23,-1.5,"($2,394)"
C & T CUSTOM STAINLESS,,6/1/23,1.2,"$1,934 "
C & T CUSTOM STAINLESS,,9/1/23,2.2,"$3,098 "
C & T CUSTOM STAINLESS,,1/1/24,1.2,"$1,771 "
C & T CUSTOM STAINLESS,,8/1/24,1.2,"$1,771 "
C & T CUSTOM STAINLESS,,10/1/24,1.2,"$1,771 "
C & T CUSTOM STAINLESS,,11/1/24,1.2,"$1,673 "
C & T CUSTOM STAINLESS,,10/1/24,0.6,"$1,344 "
C & T CUSTOM STAINLESS,,2/1/25,0.6,"$2,197 "
C & T CUSTOM STAINLESS,,6/1/23,-2,"($8,157)"
C & T CUSTOM STAINLESS,,6/1/23,2.4,"$9,948 "
C & T CUSTOM STAINLESS,,6/1/23,0.9,"$3,803 "
C & T CUSTOM STAINLESS,,7/1/23,0.8,"$2,912 "
C & T CUSTOM STAINLESS,,8/1/23,18.1,"$68,039 "
C & T CUSTOM STAINLESS,,8/1/23,6.6,"$24,927 "
C & T CUSTOM STAINLESS,,9/1/23,2.3,"$16,577 "
C & T CUSTOM STAINLESS,,9/1/23,1.5,"$5,821 "
C & T CUSTOM STAINLESS,,9/1/23,11.8,"$44,969 "
C & T CUSTOM STAINLESS,,10/1/23,6.6,"$25,366 "
C & T CUSTOM STAINLESS,,10/1/23,3.9,"$14,627 "
C & T CUSTOM STAINLESS,,11/1/23,-1.6,"($6,064)"
C & T CUSTOM STAINLESS,,11/1/23,12.1,"$45,114 "
C & T CUSTOM STAINLESS,,12/1/23,4.2,"$15,552 "
C & T CUSTOM STAINLESS,,1/1/24,4,"$13,894 "
C & T CUSTOM STAINLESS,,2/1/24,7.7,"$26,460 "
C & T CUSTOM STAINLESS,,3/1/24,25,"$83,979 "
C & T CUSTOM STAINLESS,,3/1/24,1.8,"$6,713 "
C & T CUSTOM STAINLESS,,4/1/24,4.9,"$16,434 "
C & T CUSTOM STAINLESS,,5/1/24,7.5,"$25,005 "
C & T CUSTOM STAINLESS,,6/1/24,10.5,"$37,004 "
C & T CUSTOM STAINLESS,,7/1/24,11,"$38,567 "
C & T CUSTOM STAINLESS,,8/1/24,12.9,"$44,995 "
C & T CUSTOM STAINLESS,,9/1/24,13.4,"$45,668 "
C & T CUSTOM STAINLESS,,10/1/24,10.7,"$35,891 "
C & T CUSTOM STAINLESS,,10/1/24,18.4,"$60,543 "
C & T CUSTOM STAINLESS,,11/1/24,1.9,"$6,434 "
C & T CUSTOM STAINLESS,,12/1/24,20.9,"$70,875 "
C & T CUSTOM STAINLESS,,1/1/25,4.6,"$22,229 "
C & T CUSTOM STAINLESS,,2/1/25,33.5,"$110,959 "
C & T CUSTOM STAINLESS,,2/1/25,0.8,"$2,713 "
C & T CUSTOM STAINLESS,,3/1/25,5.1,"$17,738 "
C & T CUSTOM STAINLESS,,4/1/25,4,"$17,092 "
C & T CUSTOM STAINLESS,,5/1/25,3,"$9,735 "
C & T CUSTOM STAINLESS,,6/1/25,4.7,"$16,013 "
C & T CUSTOM STAINLESS,,8/1/23,0.2,"$1,213 "
C & T CUSTOM STAINLESS,,8/1/24,0.1,"$1,521 "
C & T CUSTOM STAINLESS,,4/1/25,0,$361 
C & T CUSTOM STAINLESS,,5/1/25,0.5,"$2,049 "
C & T CUSTOM STAINLESS,,7/1/23,2.2,"$7,986 "
C & T CUSTOM STAINLESS,,8/1/23,0.4,"$2,781 "
C & T CUSTOM STAINLESS,,9/1/23,1.6,"$6,285 "
C & T CUSTOM STAINLESS,,3/1/24,1.1,"$3,740 "
C & T CUSTOM STAINLESS,,5/1/24,0.1,"$1,120 "
C & T CUSTOM STAINLESS,,5/1/24,0.6,"$2,250 "
C & T CUSTOM STAINLESS,,6/1/24,2,"$7,800 "
C & T CUSTOM STAINLESS,,8/1/24,1.1,"$3,940 "
C & T CUSTOM STAINLESS,,10/1/24,2.4,"$8,510 "
C & T CUSTOM STAINLESS,,11/1/24,1.3,"$4,866 "
C & T CUSTOM STAINLESS,,1/1/25,1.1,"$4,423 "
C & T CUSTOM STAINLESS,,2/1/25,0.6,"$2,028 "
C & T CUSTOM STAINLESS,,5/1/25,1.1,"$4,583 "
C & T CUSTOM STAINLESS,,6/1/25,0.9,$963 
C & T CUSTOM STAINLESS,,6/1/25,2.1,"$2,856 "
LOCKHEED MARTIN VOUGHT SYSTEMS,,6/1/23,0.2,$725 
AFFILIATED ENERGY PRODUCTS INC,,6/1/23,0.4,"$1,018 "
AFFILIATED ENERGY PRODUCTS INC,,6/1/23,0.1,"$2,065 "
AFFILIATED ENERGY PRODUCTS INC,,7/1/23,1.2,"$3,762 "
AFFILIATED ENERGY PRODUCTS INC,,7/1/23,0.5,"$1,625 "
AFFILIATED ENERGY PRODUCTS INC,,8/1/23,1.2,"$3,285 "
AFFILIATED ENERGY PRODUCTS INC,,8/1/23,1.2,"$3,920 "
AFFILIATED ENERGY PRODUCTS INC,,8/1/23,4,"$12,160 "
AFFILIATED ENERGY PRODUCTS INC,,9/1/23,0.1,$409 
AFFILIATED ENERGY PRODUCTS INC,,9/1/23,0.3,"$1,046 "
AFFILIATED ENERGY PRODUCTS INC,,9/1/23,0.3,"$2,423 "
AFFILIATED ENERGY PRODUCTS INC,,10/1/23,-0.6,"($1,799)"
